country,ISO_A3,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,3793.91,3808.45,3881.69,3926.95,4080.27,4278.67,4270.96,3244.15,4072.5,4815.15,
Afghanistan,AFG,67458.86,72946.66,77274.32,76798.75,83362.07,89369.24,97800.73,100094.01,85767.55,86077.58,
Angola,AGO,197839.28,217022.0,200475.82,199721.22,211424.03,229965.23,243736.14,215784.89,255820.61,282172.32,294960.93
Albania,ALB,30602.34,32526.85,33583.37,34738.55,36693.36,38688.19,41721.95,40968.56,45722.76,54144.89,58750.96
Andorra,AND,3429.54,3576.66,3661.62,3833.54,3915.7,4152.3,4395.35,4031.18,4649.56,5452.92,5733.3
United Arab Emirates,ARE,657868.03,687052.39,609998.22,604925.12,627578.03,701667.87,726238.68,614384.48,645375.98,745049.1,798490.9
Argentina,ARG,848625.3,838428.06,865155.58,882649.22,1035699.07,1090043.17,1057633.16,1011999.4,1195003.73,1342543.37,1369904.11
Armenia,ARM,28572.64,29343.06,29315.4,31629.43,35949.45,38233.28,44365.67,43552.76,47164.87,56846.96,64044.99
American Samoa,ASM,,,,,,,,,,,
Antigua and Barbuda,ATG,1916.22,1923.84,1876.64,1918.29,1933.33,2229.89,2424.23,2053.38,2376.44,2785.85,2998.9
Australia,AUS,1062414.87,1101347.41,1102492.31,1143970.72,1190737.66,1254437.05,1336328.93,1386702.98,1474501.35,1700455.87,1841115.99
Austria,AUT,406370.49,417059.74,430976.0,460282.77,476590.43,503361.09,537897.84,522624.84,567987.42,641751.89,673525.6
Azerbaijan,AZE,162604.72,167470.43,145466.45,141837.62,141069.64,151909.52,167158.11,153047.75,203884.1,228529.2,239521.31
Burundi,BDI,7175.65,7822.94,8809.63,8676.71,8759.74,8935.57,9549.33,9923.5,10847.77,11826.26,12588.28
Belgium,BEL,487343.8,503619.41,520878.05,550677.65,573788.8,600269.57,650523.76,643057.4,719771.06,797839.61,832972.05
Benin,BEN,26896.88,29454.69,30961.69,33245.56,34745.53,36720.42,40076.29,42407.31,46467.95,52850.12,58256.36
Burkina Faso,BFA,29071.65,30284.93,31763.61,36383.54,40632.4,42375.18,46790.49,51134.81,54538.75,59416.77,63405.46
Bangladesh,BGD,577776.46,627516.7,671359.53,736379.11,791891.2,897767.81,997249.7,1104316.06,1247561.12,1430213.5,1567951.79
Bulgaria,BGR,120953.32,127250.45,131965.6,143019.09,151820.64,161606.2,178065.24,178446.88,202239.76,229275.32,248788.11
Bahrain,BHR,67888.99,68536.79,62994.16,64268.42,71726.22,74662.45,80256.05,75999.83,79531.14,89295.13,94846.53
"Bahamas, The",BHS,11416.92,11974.22,12210.74,12385.26,13160.6,13615.03,13974.09,10348.43,11629.77,13790.84,14670.73
Bosnia and Herzegovina,BIH,39025.22,39808.7,41675.87,44797.86,46718.61,50322.62,54961.07,54007.86,60173.8,67899.27,73353.46
